Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating (Out of 5),Prediction
Soybeans,Soybeans,Maple Syrup,None,Garlic,Soybeans,10.07,2,May Contain
Cream,Cream,Maple Syrup,Butter,Pepper,Cream,13.07,2.1,May Contain
Flax Seeds,Flax Seeds,Maple Syrup,Butter,Garlic,Flax Seeds,20.77,2.3,May Contain
Xanthan Gum,Xanthan Gum,Sugar,Olive Oil,Garlic,None,5.63,3.1,Contains
Hemp Seeds,Hemp Seeds,Sugar,Butter,None,Hemp Seeds,41.64,2,Safe
Basil,Basil,Maple Syrup,Olive Oil,Salt,None,40.89,2.4,Contains
Pomegranate,Pomegranate,Honey,Olive Oil,Salt,None,47.18,4.7,Contains
Grapes,Grapes,Maple Syrup,Coconut Oil,Salt,None,21.03,4.5,Safe
Asparagus,Asparagus,Honey,Butter,Garlic,None,44.46,2.1,Contains
Nitrates,Nitrates,Sugar,Coconut Oil,None,None,44.05,4.7,Contains
Brazil Nuts,Brazil Nuts,None,None,Garlic,Brazil Nuts,9.73,4.3,Contains
Olive Oil,Olive Oil,Sugar,Butter,Garlic,None,25.23,3.6,May Contain
Lobster,Lobster,Honey,Olive Oil,Garlic,Lobster,19.08,3.1,Safe
Cauliflower,Cauliflower,Honey,Olive Oil,Garlic,None,28.82,1.6,Safe
Pepper,Pepper,Honey,None,Garlic,None,24.27,3.5,Safe
Duck,Duck,Honey,Olive Oil,Pepper,None,45.37,1.7,May Contain
Plum,Plum,Maple Syrup,None,Pepper,None,5.3,2.7,Safe
Oysters,Oysters,None,Butter,None,Oysters,26.4,2.3,Contains
Cream,Cream,None,None,None,Cream,12.33,1.7,Contains
Wheat,Wheat,Sugar,Olive Oil,Salt,Wheat,32.91,4.5,May Contain
Rabbit,Rabbit,None,Olive Oil,Pepper,None,11.69,1.5,May Contain
Benzoates,Benzoates,Honey,Olive Oil,Pepper,None,40.93,4.5,Contains
Ghee,Ghee,None,Olive Oil,Pepper,Ghee,12.64,3.6,May Contain
Spinach,Spinach,Honey,Butter,Garlic,None,28.07,1.6,Contains
Whey,Whey,Honey,Coconut Oil,Garlic,Whey,5.47,4.6,Safe
Cardamom,Cardamom,Maple Syrup,None,Garlic,None,31.71,4.1,Contains
Butter,Butter,Maple Syrup,Butter,Pepper,Butter,29.13,1.3,Safe
Pumpkin Seeds,Pumpkin Seeds,Sugar,Butter,None,Pumpkin Seeds,37.17,1.8,May Contain
Sesame Oil,Sesame Oil,Honey,Butter,Pepper,None,42.5,2.4,May Contain
Almonds,Almonds,Maple Syrup,Butter,Pepper,Almonds,46.55,3.5,Safe
Cinnamon,Cinnamon,Sugar,Butter,None,None,5.14,5,Safe
Sunflower Seeds,Sunflower Seeds,Maple Syrup,Butter,Garlic,Sunflower Seeds,28.12,1.9,May Contain
Buckwheat,Buckwheat,Maple Syrup,None,Pepper,Buckwheat,46.48,4,May Contain
Garlic,Garlic,Maple Syrup,Olive Oil,Pepper,None,44.08,1.9,Contains
Coconut Oil,Coconut Oil,None,Olive Oil,Pepper,None,39.52,3.8,May Contain
Chicken,Chicken,Maple Syrup,Olive Oil,Salt,None,44.97,4.6,Contains
Carrageenan,Carrageenan,Sugar,Butter,Garlic,None,30.41,3.3,May Contain
Coconut Oil,Coconut Oil,Sugar,Butter,Garlic,None,14.24,2.5,Safe
Quail,Quail,None,Olive Oil,Garlic,None,27.53,1.9,Contains
Potato,Potato,Honey,Butter,Salt,None,44.53,3.9,May Contain
Barley,Barley,Honey,Coconut Oil,Garlic,Barley,32.76,4.8,Safe
Rabbit,Rabbit,Honey,Coconut Oil,None,None,16.93,3.2,May Contain
Nitrates,Nitrates,None,Olive Oil,Garlic,None,17.46,4.4,Contains
Cloves,Cloves,Sugar,Olive Oil,Pepper,None,18.98,4,May Contain
Broccoli,Broccoli,None,Olive Oil,Garlic,None,25.45,2.1,Safe
Cloves,Cloves,None,None,None,None,12.45,1.4,Safe
Sesame Oil,Sesame Oil,Honey,Olive Oil,Pepper,None,32.24,4.5,May Contain
Flax Seeds,Flax Seeds,Maple Syrup,Butter,Pepper,Flax Seeds,27.02,4.9,Contains
Hemp Seeds,Hemp Seeds,Honey,Coconut Oil,Pepper,Hemp Seeds,44.44,1.7,May Contain
Dill,Dill,Sugar,Coconut Oil,None,None,29.76,1.6,May Contain
Butter,Butter,None,Coconut Oil,Pepper,Butter,13.36,4.6,Safe
Pork,Pork,None,Coconut Oil,Pepper,None,33.04,4.7,Contains
Pork,Pork,Sugar,Butter,Garlic,None,20.68,2.9,May Contain
Black Beans,Black Beans,Sugar,None,Salt,Black Beans,7.73,3.7,May Contain
Rabbit,Rabbit,Sugar,Coconut Oil,None,None,21.93,3.1,Safe
Pumpkin Seeds,Pumpkin Seeds,Sugar,Butter,Salt,Pumpkin Seeds,43.11,1.1,Contains
Walnuts,Walnuts,Maple Syrup,Coconut Oil,Pepper,Walnuts,10.36,2.3,Safe
Cumin,Cumin,Maple Syrup,Coconut Oil,Garlic,None,32.13,4.8,Contains
Oysters,Oysters,None,Olive Oil,Garlic,Oysters,39.55,1.4,May Contain
Cherry,Cherry,Honey,Butter,Pepper,None,49.85,2.9,May Contain
Artificial Coloring,Artificial Coloring,Honey,Butter,None,None,37.98,3,May Contain
Avocado Oil,Avocado Oil,Honey,None,Pepper,None,18.57,2,Safe
Veal,Veal,Honey,Coconut Oil,None,None,31.18,4.1,Contains
Thyme,Thyme,Sugar,Butter,None,None,9.3,4.8,May Contain
Mussels,Mussels,Honey,Coconut Oil,Garlic,Mussels,35.57,1.7,May Contain
Cabbage,Cabbage,Maple Syrup,None,Salt,None,45.71,3.9,May Contain
Potato,Potato,Maple Syrup,Olive Oil,Pepper,None,16.21,2.2,Contains
Chickpeas,Chickpeas,None,Coconut Oil,None,Chickpeas,13.7,2.6,Safe
Lentils,Lentils,Honey,Olive Oil,None,Lentils,10.43,1.2,Contains
Cashews,Cashews,Sugar,Coconut Oil,None,Cashews,43.92,3,May Contain
Pumpkin Seeds,Pumpkin Seeds,None,None,Salt,Pumpkin Seeds,7.44,4.7,Contains
Whey,Whey,None,Coconut Oil,Garlic,Whey,45.16,2.7,May Contain
Carrageenan,Carrageenan,Honey,None,Salt,None,8.43,3.2,Contains
Blackberry,Blackberry,Sugar,Butter,Salt,None,18.23,3.2,Safe
Lobster,Lobster,None,Butter,Garlic,Lobster,30.52,1.2,Safe
Mushroom,Mushroom,Sugar,Coconut Oil,Pepper,None,38.51,2.4,May Contain
Quail,Quail,Honey,Butter,Pepper,None,11.01,4.6,Contains
Lentils,Lentils,Sugar,None,Garlic,Lentils,38.28,4.2,Contains
Leek,Leek,None,None,Pepper,None,42.93,1.9,Safe
Saffron,Saffron,None,Coconut Oil,Salt,None,39.06,4.7,Contains
Papaya,Papaya,Honey,Butter,Pepper,None,13.52,3.3,May Contain
MSG,MSG,Maple Syrup,Olive Oil,None,None,28.46,4.4,Safe
Rice,Rice,Sugar,Coconut Oil,None,Rice,22.4,3.9,Safe
Strawberries,Strawberries,Maple Syrup,None,Garlic,None,47.65,1.9,May Contain
Cherry,Cherry,Maple Syrup,Olive Oil,Salt,None,31.2,4,May Contain
Duck,Duck,Maple Syrup,Butter,None,None,21.77,3.9,Safe
Saffron,Saffron,Honey,None,Salt,None,24.53,4.7,Safe
Nitrates,Nitrates,Sugar,None,None,None,39.69,2.6,May Contain
Veal,Veal,Sugar,None,None,None,23.8,1.7,May Contain
Chickpeas,Chickpeas,Honey,Olive Oil,Pepper,Chickpeas,29.03,4.1,Contains
Chickpeas,Chickpeas,None,Olive Oil,None,Chickpeas,14.38,2.3,Safe
Nitrates,Nitrates,Honey,None,Salt,None,15.51,1.5,Contains
Black Beans,Black Beans,Sugar,Olive Oil,Garlic,Black Beans,23.69,4.7,Contains
Tuna,Tuna,None,Olive Oil,Pepper,Tuna,5.6,5,Safe
Basil,Basil,Maple Syrup,Coconut Oil,Pepper,None,42.96,2.3,May Contain
Broccoli,Broccoli,Maple Syrup,Coconut Oil,Salt,None,28.17,3,Contains
Nutmeg,Nutmeg,Sugar,Coconut Oil,Pepper,None,34.62,2.6,May Contain
Cod,Cod,Sugar,Butter,None,Cod,10.58,2.7,Safe
Black Beans,Black Beans,Maple Syrup,None,Garlic,Black Beans,6.88,4.6,May Contain
Lobster,Lobster,Sugar,Olive Oil,Salt,Lobster,39.97,1.8,Safe
Shrimp,Shrimp,None,Olive Oil,Pepper,Shrimp,18.64,4.2,Contains
Ginger,Ginger,Sugar,Butter,None,None,20.71,3.3,Contains
Quail,Quail,Honey,Olive Oil,Pepper,None,45.5,3,Contains
Saffron,Saffron,Sugar,Olive Oil,Salt,None,40.12,3.4,Contains
Olive Oil,Olive Oil,Maple Syrup,Butter,Pepper,None,49.14,3.1,May Contain
Pineapple,Pineapple,Honey,Olive Oil,Pepper,None,24.01,4.1,Contains
Sulfites,Sulfites,Maple Syrup,Olive Oil,Garlic,None,48.78,2.3,Contains
Veal,Veal,Honey,None,Pepper,None,10.72,4.8,Safe
Papaya,Papaya,None,Olive Oil,Salt,None,13.09,3.2,Contains
Cottage Cheese,Cottage Cheese,Honey,Coconut Oil,Garlic,Cottage Cheese,13.13,2.1,Contains
Cinnamon,Cinnamon,Honey,Butter,Garlic,None,22.81,4.6,May Contain
Cauliflower,Cauliflower,Honey,Coconut Oil,Salt,None,20.05,3.2,May Contain
Cream,Cream,Sugar,Butter,Pepper,Cream,44.43,2,Safe
Oregano,Oregano,None,Coconut Oil,Pepper,None,49.83,1.3,Contains
Cinnamon,Cinnamon,Sugar,None,Salt,None,44.42,4,Safe
Sunflower Seeds,Sunflower Seeds,Honey,None,Salt,Sunflower Seeds,24.02,2.7,Safe
Pepper,Pepper,Sugar,Coconut Oil,None,None,10.12,1.2,Contains
Cloves,Cloves,Maple Syrup,Coconut Oil,Salt,None,48.1,2.8,May Contain
Canola Oil,Canola Oil,None,None,Salt,None,37.53,4.6,Safe
Artificial Coloring,Artificial Coloring,Maple Syrup,Coconut Oil,Pepper,None,10.81,1.2,May Contain
Curd,Curd,Sugar,None,Garlic,Curd,10.14,3.7,Contains
Cherry,Cherry,Honey,Coconut Oil,Garlic,None,18.99,2.6,May Contain
Rosemary,Rosemary,Maple Syrup,Olive Oil,Salt,None,37.4,3.5,Contains
Lamb,Lamb,Maple Syrup,None,Salt,None,38.92,2.2,Safe
Pumpkin Seeds,Pumpkin Seeds,Sugar,Coconut Oil,Pepper,Pumpkin Seeds,46.43,2.6,Safe
Chicken,Chicken,Maple Syrup,None,Garlic,None,14.88,2.4,Safe
Buckwheat,Buckwheat,Maple Syrup,Butter,Salt,Buckwheat,8.93,5,Safe
Cod,Cod,Maple Syrup,Coconut Oil,None,Cod,47.01,3.6,Safe
Flaxseed Oil,Flaxseed Oil,None,Coconut Oil,Pepper,None,37.86,5,Contains
Sunflower Oil,Sunflower Oil,Honey,Coconut Oil,Garlic,None,37.87,4.6,Contains
Farro,Farro,Sugar,Coconut Oil,None,Farro,16.57,3.1,Safe
Leek,Leek,None,Olive Oil,Garlic,None,22.47,3.7,Safe
Rosemary,Rosemary,Maple Syrup,Olive Oil,Salt,None,27.76,1.1,Contains
Rabbit,Rabbit,Maple Syrup,Olive Oil,Garlic,None,12.9,4,Contains
Saffron,Saffron,Honey,None,Pepper,None,21.38,3.3,Safe
Watermelon,Watermelon,Sugar,Coconut Oil,Salt,None,37.94,2.7,May Contain
Curd,Curd,Honey,Butter,None,Curd,7.48,3.1,Contains
Sunflower Oil,Sunflower Oil,Honey,Olive Oil,None,None,16.25,2,May Contain
Cottage Cheese,Cottage Cheese,None,None,None,Cottage Cheese,6.4,1.9,May Contain
Whey,Whey,Sugar,Olive Oil,None,Whey,7.95,4.9,May Contain
Lobster,Lobster,Sugar,Olive Oil,Salt,Lobster,23.09,2,May Contain
Squid,Squid,Honey,Butter,None,Squid,26.78,2.8,May Contain
Okra,Okra,None,Coconut Oil,Salt,None,7.58,3.6,Contains
Rosemary,Rosemary,Sugar,Olive Oil,None,None,26.24,3.6,Safe
Benzoates,Benzoates,Sugar,Coconut Oil,None,None,15.63,1.4,Safe
Veal,Veal,Maple Syrup,Coconut Oil,Garlic,None,39.78,2.6,Safe
Shrimp,Shrimp,None,Coconut Oil,Garlic,Shrimp,40.75,4.9,May Contain
Millet,Millet,Sugar,Coconut Oil,Salt,Millet,5.32,1.8,Contains
Milk,Milk,None,Butter,Pepper,Milk,8.72,2.8,Safe
Sunflower Oil,Sunflower Oil,None,Butter,Salt,None,12.18,4.5,May Contain
Yogurt,Yogurt,Honey,Olive Oil,Garlic,Yogurt,40.68,4.4,Safe
Walnuts,Walnuts,Honey,None,Pepper,Walnuts,14.08,1.6,Contains
Mango,Mango,Sugar,Olive Oil,Garlic,None,30.44,2,May Contain
Chicken,Chicken,Honey,Butter,Pepper,None,29.34,2.6,May Contain
Quail,Quail,None,None,Garlic,None,48.92,4.7,Safe
Sodium Benzoate,Sodium Benzoate,Honey,Butter,Salt,None,25.66,1.1,Contains
Grapes,Grapes,Maple Syrup,Coconut Oil,Garlic,None,13.18,3.1,May Contain
Sesame Oil,Sesame Oil,Sugar,Olive Oil,Salt,None,46.98,3.3,May Contain
Shrimp,Shrimp,Maple Syrup,Coconut Oil,Pepper,Shrimp,47.32,3.5,May Contain
Lamb,Lamb,None,Coconut Oil,Garlic,None,36.76,3.8,May Contain
Grapes,Grapes,Sugar,Olive Oil,Garlic,None,14.06,3.7,May Contain
Flax Seeds,Flax Seeds,Sugar,Olive Oil,Salt,Flax Seeds,27.05,2.9,Safe
Oysters,Oysters,Maple Syrup,Coconut Oil,Pepper,Oysters,18.36,4,May Contain
Chia Seeds,Chia Seeds,None,Butter,None,Chia Seeds,26.13,3.9,Safe
Peanuts,Peanuts,Sugar,Butter,Garlic,Peanuts,37.6,2.4,Contains
Cauliflower,Cauliflower,Honey,Coconut Oil,Pepper,None,31.3,2.8,Contains
Dill,Dill,Honey,None,Garlic,None,34.61,3.4,Contains
Xanthan Gum,Xanthan Gum,Sugar,None,Salt,None,28.16,4.9,Safe
Spelt,Spelt,Sugar,None,Salt,Spelt,16.87,1.3,Contains
Blackberry,Blackberry,Honey,None,Salt,None,37.04,2,May Contain
Parsnip,Parsnip,Honey,None,None,None,37.64,1.3,May Contain
Rice,Rice,None,None,Salt,Rice,26.7,3.4,Contains
Macadamia Nuts,Macadamia Nuts,None,None,Salt,Macadamia Nuts,48.34,2.6,May Contain
Condensed Milk,Condensed Milk,Maple Syrup,Coconut Oil,Pepper,Condensed Milk,13.94,3.9,Safe
Quinoa,Quinoa,Maple Syrup,None,None,Quinoa,6.6,1.5,May Contain
Veal,Veal,None,Olive Oil,Salt,None,24.21,2.3,Safe
Condensed Milk,Condensed Milk,Sugar,None,None,Condensed Milk,20.03,3.6,Contains
Turkey,Turkey,Sugar,None,Garlic,None,39.7,4.9,Safe
Ghee,Ghee,Sugar,None,Garlic,Ghee,32.8,3.7,Safe
Cream,Cream,Maple Syrup,None,None,Cream,17.35,1.5,Contains
Apple,Apple,Maple Syrup,Butter,None,None,35.43,2.2,Contains
Milk,Milk,Sugar,Butter,Pepper,Milk,47.72,4.8,Safe
Nitrates,Nitrates,Honey,Coconut Oil,Pepper,None,34.91,1.8,May Contain
Fig,Fig,Maple Syrup,Coconut Oil,None,None,47.75,1.4,May Contain
Sardines,Sardines,Maple Syrup,None,Garlic,Sardines,36.19,4.6,May Contain
Spelt,Spelt,None,None,Pepper,Spelt,27.73,2.6,Contains
Avocado Oil,Avocado Oil,None,Coconut Oil,Garlic,None,35.2,4.4,Safe
Peanuts,Peanuts,Maple Syrup,Olive Oil,None,Peanuts,26.81,4.5,May Contain
Milk,Milk,None,Coconut Oil,Salt,Milk,28.99,3.2,Safe
Salmon,Salmon,Sugar,Butter,Pepper,Salmon,36.89,1.5,Contains
Benzoates,Benzoates,Sugar,Butter,Salt,None,28.27,4.8,Contains
Milk,Milk,None,None,Garlic,Milk,7,3.2,Safe
Potato,Potato,Sugar,Butter,Garlic,None,25.77,2,Safe
Hemp Seeds,Hemp Seeds,Honey,Coconut Oil,Salt,Hemp Seeds,22.68,2.3,May Contain
Blueberries,Blueberries,Sugar,None,Salt,None,48.65,4.4,Safe
Pork,Pork,Honey,Olive Oil,Garlic,None,46.03,4.6,Contains
Artificial Coloring,Artificial Coloring,None,Butter,None,None,47.28,1.2,Safe
Olive Oil,Olive Oil,Maple Syrup,Coconut Oil,Pepper,None,33.96,3.5,Contains
Basil,Basil,Honey,None,None,None,25.58,1.3,May Contain
Squid,Squid,Sugar,Coconut Oil,None,Squid,24.39,3.5,Contains
Chicken,Chicken,None,None,Pepper,None,26.03,2.3,Safe
Potato,Potato,Maple Syrup,Olive Oil,None,None,13.82,3.8,May Contain
Carrot,Carrot,Sugar,Coconut Oil,Garlic,None,7.7,4.3,Contains
Rosemary,Rosemary,Sugar,Coconut Oil,Garlic,None,6.3,4.1,Safe
Millet,Millet,None,None,None,Millet,41.33,3.2,May Contain
Blueberries,Blueberries,Honey,Olive Oil,Garlic,None,45.88,1.6,Safe
Carrageenan,Carrageenan,Honey,None,Salt,None,11.67,4.7,May Contain
Beef,Beef,Sugar,None,Pepper,None,6.65,3.2,Safe
Celery,Celery,Maple Syrup,Olive Oil,Garlic,None,11.16,3.7,Safe
Sesame Seeds,Sesame Seeds,Maple Syrup,Olive Oil,Pepper,Sesame Seeds,20.39,3.7,May Contain
Cumin,Cumin,Honey,Coconut Oil,Pepper,None,22.46,4.5,Contains
MSG,MSG,Honey,Coconut Oil,Garlic,None,33.43,4.2,Safe
Coconut Oil,Coconut Oil,Honey,Coconut Oil,Pepper,None,25.27,4,Safe
Squid,Squid,None,Coconut Oil,Pepper,Squid,9,1.1,Safe
Rabbit,Rabbit,Honey,Olive Oil,Salt,None,12.27,4.7,Safe
Fig,Fig,Maple Syrup,None,Salt,None,31.85,3.2,Contains
Ginger,Ginger,Honey,Coconut Oil,None,None,7.14,3.7,Safe
Cinnamon,Cinnamon,Honey,Olive Oil,Garlic,None,19.8,1.9,May Contain
Sesame Oil,Sesame Oil,Honey,Butter,Salt,None,27.56,4,Contains
Avocado Oil,Avocado Oil,Sugar,Coconut Oil,Salt,None,29.56,3.6,May Contain
Flax Seeds,Flax Seeds,None,None,None,Flax Seeds,25.44,1.9,May Contain
Sunflower Oil,Sunflower Oil,None,Olive Oil,None,None,36.44,1.3,Safe
Cloves,Cloves,Sugar,Coconut Oil,None,None,6.21,3.5,Contains
Sesame Oil,Sesame Oil,Sugar,None,Salt,None,17.21,4.7,May Contain
Turmeric,Turmeric,Sugar,Butter,None,None,27.89,4.1,May Contain
Strawberries,Strawberries,Maple Syrup,Coconut Oil,Pepper,None,5.43,3.4,Contains
Whey,Whey,None,Coconut Oil,Garlic,Whey,23.62,3.4,Contains
Lettuce,Lettuce,None,Olive Oil,Garlic,None,5.09,3.2,May Contain
Condensed Milk,Condensed Milk,Maple Syrup,Butter,None,Condensed Milk,41.82,1.9,Contains
Milk,Milk,Honey,None,Garlic,Milk,48.62,4.1,Contains
Dill,Dill,Maple Syrup,Olive Oil,Pepper,None,7.27,1.5,May Contain
Sardines,Sardines,Honey,Coconut Oil,Salt,Sardines,24.94,4.2,May Contain
Chicken,Chicken,Maple Syrup,None,Garlic,None,15.89,1.6,Safe
MSG,MSG,Maple Syrup,None,Salt,None,33.52,1.7,Safe
MSG,MSG,Honey,None,Garlic,None,32.31,1.6,Contains
Cherry,Cherry,Maple Syrup,Butter,Garlic,None,15.93,3.6,Safe
Broccoli,Broccoli,Honey,Coconut Oil,None,None,37.93,4.4,Safe
Turkey,Turkey,Sugar,Butter,None,None,14.81,1.2,May Contain
Sesame Seeds,Sesame Seeds,Honey,Olive Oil,Salt,Sesame Seeds,33.69,2.5,May Contain
Orange,Orange,Honey,Butter,None,None,22.85,4.8,May Contain
Lentils,Lentils,Sugar,None,None,Lentils,46.71,2.4,May Contain
Cauliflower,Cauliflower,Maple Syrup,None,Pepper,None,46.82,3.7,Safe
Veal,Veal,Maple Syrup,Butter,Garlic,None,44.54,1.9,Contains
Grapes,Grapes,Sugar,Olive Oil,Salt,None,10.78,3.4,May Contain
Rosemary,Rosemary,Honey,Coconut Oil,None,None,46.86,3.2,Contains
Sesame Oil,Sesame Oil,Honey,Butter,Salt,None,9.09,1.4,May Contain
Butter,Butter,Honey,Butter,Garlic,Butter,42.75,4.1,May Contain
Milk,Milk,None,Coconut Oil,Salt,Milk,45.52,3.7,Contains
Carrageenan,Carrageenan,Honey,None,Garlic,None,33.4,2.4,Contains
Macadamia Nuts,Macadamia Nuts,Maple Syrup,Coconut Oil,Garlic,Macadamia Nuts,33.61,4.1,Safe
Carrageenan,Carrageenan,None,None,Salt,None,14.97,4.6,Contains
Canola Oil,Canola Oil,Honey,Olive Oil,None,None,25.47,4.2,Contains
Hemp Seeds,Hemp Seeds,Honey,None,Garlic,Hemp Seeds,39.01,2.1,Safe
Milk,Milk,Maple Syrup,Butter,Garlic,Milk,21.17,1.3,Contains
Flaxseed Oil,Flaxseed Oil,Honey,Butter,None,None,9.11,4.6,May Contain
Potassium Sorbate,Potassium Sorbate,Maple Syrup,Coconut Oil,Salt,None,23.01,3.9,Contains
Whey,Whey,Maple Syrup,None,Salt,Whey,12.05,1.4,Safe
Cabbage,Cabbage,None,None,None,None,36.79,4.4,Contains
Oysters,Oysters,Maple Syrup,None,Salt,Oysters,17.6,2.6,Safe
Avocado Oil,Avocado Oil,None,Coconut Oil,None,None,38.57,1.8,Contains
Orange,Orange,None,None,Garlic,None,16.53,3.8,May Contain
Hazelnuts,Hazelnuts,None,Coconut Oil,Garlic,Hazelnuts,7.91,2.2,May Contain
Ginger,Ginger,Maple Syrup,Butter,Garlic,None,46.49,1.1,Contains
Orange,Orange,Honey,Coconut Oil,Salt,None,41.14,3.5,Safe
Condensed Milk,Condensed Milk,Honey,Butter,Garlic,Condensed Milk,37.18,4.7,Safe
Shrimp,Shrimp,Sugar,Olive Oil,Pepper,Shrimp,23.99,4.3,May Contain
Avocado Oil,Avocado Oil,Honey,Olive Oil,Salt,None,6.77,1.5,May Contain
Buckwheat,Buckwheat,Maple Syrup,Coconut Oil,None,Buckwheat,35.59,1.8,Safe
Goat,Goat,Maple Syrup,Coconut Oil,Salt,None,6.5,1.5,Contains
Cardamom,Cardamom,None,Butter,None,None,31.91,2.3,May Contain
Hemp Seeds,Hemp Seeds,Maple Syrup,Olive Oil,Garlic,Hemp Seeds,18.11,1,May Contain
Turkey,Turkey,Honey,Butter,Pepper,None,39.43,4.3,May Contain
Grapeseed Oil,Grapeseed Oil,Maple Syrup,Olive Oil,Pepper,None,23.78,1.9,Safe
Dill,Dill,Maple Syrup,Coconut Oil,None,None,14.42,4.3,May Contain
